Unnamed: 0,Santali,English,Hindi
46025842,ᱤᱧ ᱵᱮᱝᱠ ᱨᱮᱭᱟᱜ ᱟᱹᱨᱤ ᱠᱚ ᱤᱫᱤ ᱠᱟᱛᱮ ᱥᱟᱹᱨᱤᱜᱤᱧ ᱟᱹᱲᱤᱥ ᱟᱠᱟᱱᱟ ᱾ ᱤᱧᱨᱮᱱ ᱱᱟᱵᱟᱞᱚᱠ ᱜᱤᱫᱽᱨᱟᱹ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫᱴᱟᱝ ᱮᱠᱟᱣᱩᱱᱴ ᱥᱮᱴᱼᱟᱯ ᱠᱚᱨᱟᱣ ᱚᱠᱛᱚ ᱤᱧ ᱟᱨᱦᱚᱸ ᱱᱟᱯᱟᱭ ᱥᱟᱹᱠᱭᱟᱹᱛ ᱤᱧ ᱟᱸᱥ ᱟᱠᱟᱱᱟ ᱾,I'm really annoyed with the bank's policies. I expected better support when setting up an account for my minor child.,मैं बैंक की नीतियों से वास्तव में बहुत परेशान हूँ। मुझे अपने नाबालिग बच्चे के लिए खाता खोलते समय बेहतर सहयोग की उम्मीद थी।
46035842,"ᱵᱟᱦ, ᱤᱧ ᱤᱧᱟᱹᱜ ᱱᱟᱣᱟ ᱚᱲᱟᱜ ᱨᱮ ᱢᱮᱱᱟᱜ ᱵᱤᱡᱽᱞᱤᱭᱟᱱ ᱡᱤᱱᱤᱥ ᱯᱟᱹᱛᱤ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱥᱢᱟᱹ ᱵᱟᱹᱧ ᱟᱸᱥ ᱟᱠᱟᱱᱟᱼ ᱱᱚᱶᱟ ᱮᱴᱟᱜ ᱯᱟᱱᱛᱷᱟ ᱠᱚᱫᱚ ᱯᱩᱨᱟᱹ ᱜᱮ ᱱᱟᱣᱟ ᱡᱮᱜᱮᱫ ᱞᱮᱠᱟᱱ ᱾","Wow, I didn't expect the range of electrical fittings available for my new house – it's like a whole new world of options!","वाह, मुझे अपने नए घर के लिए उपलब्ध बिजली के सामानों की इतनी विस्तृत श्रृंखला की उम्मीद नहीं थी - यह तो विकल्पों की एक पूरी नई दुनिया जैसी है!"
46045842,"ᱱᱚᱶᱟ ᱵᱟᱥ ᱯᱚᱨᱤᱥᱮᱵᱟ ᱪᱮᱫ ᱞᱮᱠᱟ ᱯᱟᱹᱛᱭᱟᱹᱣᱟᱱ ᱠᱟᱱᱟ ᱚᱱᱟ ᱫᱚ ᱤᱧᱟᱹᱜ ᱵᱟᱰᱟᱭ ᱵᱟᱹᱱᱩᱜᱼᱟ ᱾ ᱱᱚᱣᱟ ᱫᱚ ᱨᱟᱹᱯᱩᱫ ᱟᱠᱟᱱᱟ, ᱟᱨ ᱤᱧ ᱤᱧᱟᱹᱜ ᱞᱟᱹᱠᱛᱤᱭᱟᱱ ᱮᱹᱯᱚᱭᱢᱮᱱᱴ ᱞᱟᱹᱜᱤᱫ ᱵᱤᱞᱚᱢ ᱞᱤᱫᱟᱹᱧ ᱾","I am wild at how unreliable this bus service is. It broke down, and I was late for my important appointment!","मैं इस बात पर बहुत क्रोधित हूँ कि यह बस सेवा कितनी अविश्वसनीय है। यह खराब हो गई, और मुझे अपनी महत्वपूर्ण मुलाकात के लिए देर हो गई!"
46055842,ᱟᱫᱟᱭᱟᱨ ᱨᱮᱭᱟᱜ ᱟᱹᱰᱤ ᱱᱟᱶᱟᱱ ᱨᱮᱥᱴᱩᱨᱮᱱᱴ ᱨᱮ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱥᱟᱨᱵᱷᱟᱨ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱟᱨ ᱤᱧ ᱢᱚᱱᱮ ᱵᱟᱲᱤᱡ ᱤᱧ ᱟᱹᱭᱠᱟᱹᱣ ᱞᱮᱫᱟ ᱡᱮ ᱤᱧ ᱤᱧᱨᱮᱱ ᱮᱨᱟ ᱫᱚ ᱟᱹᱞᱤᱧᱟᱜ ᱥᱮᱨᱢᱟᱠᱤᱭᱟᱹ ᱞᱟᱹᱜᱤᱫ ᱚᱸᱰᱮᱧ ᱤᱫᱤ ᱞᱮᱫᱮᱭᱟ ᱾,The swank new restaurant in Adayar had terrible service and I felt depressed that I had taken my wife there for our anniversary.,अड्यार के उस नए आलीशान रेस्टोरेंट की सेवा बहुत खराब थी और मुझे बहुत दुख हुआ कि मैं अपनी शादी की सालगिरह पर अपनी पत्नी को वहाँ ले गया था।
46065842,ᱤᱧ ᱟᱸᱡᱚᱢ ᱠᱟᱛᱤᱧ ᱜᱟᱹᱞ ᱞᱮᱱᱟ ᱡᱮ ᱢᱤᱫᱴᱟᱝ ᱠᱩᱲᱤ ᱜᱤᱫᱽᱨᱟᱹ ᱱᱤᱨᱟᱢᱤᱥᱟᱥᱤ ᱰᱟᱭᱮᱴᱮᱭ ᱥᱮᱱ ᱞᱮᱱᱟ ᱟᱨ ᱮᱠᱷᱮᱱ ᱡᱚ ᱡᱚᱢ ᱠᱟᱛᱮᱭ ᱜᱚᱡ ᱟᱠᱟᱱᱟ ᱾,I was devastated to hear that a girl switched to a vegan diet and died after eating only fruits.,यह सुनकर मेरा दिल टूट गया कि एक लड़की ने शाकाहारी (वीगन) आहार अपनाया और केवल फल खाकर उसकी मृत्यु हो गई।
46075842,ᱤᱧ ᱡᱚᱠᱷᱚᱱ ᱜᱮ ᱠᱟᱨᱞ ᱥᱮᱜᱟᱱ  ᱧᱩᱛᱨᱮ ᱡᱷᱤᱞᱟᱹ ᱛᱟᱦᱮᱱ ᱦᱩᱰᱤᱧ ᱱᱟᱥᱮ ᱞᱤᱞ ᱴᱩᱰᱟᱹᱜ ᱨᱮᱭᱟᱜ ᱠᱟᱛᱷᱟ ᱞᱟᱹᱭ ᱤᱧ ᱧᱮᱞᱮᱭᱟ ᱩᱱᱜᱮ ᱤᱧᱤᱧ ᱨᱩᱢᱩᱧᱚᱜᱼᱟ ᱾,I am thrilled every time I see Carl Sagan talk about the small pale blue dot hanging in the darkness that we call home.,"जब भी मैं कार्ल सागन को उस छोटे हल्के नीले बिंदु के बारे में बात करते देखता हूँ जो अंधेरे में लटका हुआ है जिसे हम अपना घर कहते हैं, तो मैं रोमांचित हो जाता हूँ।"
46085842,ᱤᱧ ᱨᱟᱹᱥᱠᱟᱹᱛᱤᱧ ᱫᱚᱱ ᱵᱟᱲᱟᱭᱮᱫ ᱛᱟᱦᱮᱸ ᱡᱚᱠᱷᱚᱱ ᱤᱧᱟᱹᱜ ᱫᱚᱞᱨᱮᱱ ᱗᱕% ᱱᱟᱣᱟᱱ ᱵᱟᱹᱡᱤᱱ ᱪᱮᱸᱜᱷᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫ ᱥᱮᱨᱢᱟᱛᱮ ᱩᱛᱱᱟᱹᱣ ᱞᱮᱱᱟ ᱾,I was jumping for joy when 75% of my team was promoted in a single year for enabling new business.,मैं खुशी से उछल पड़ा जब नए व्यापार को सक्षम करने के लिए मेरी 75% टीम को एक ही वर्ष में पदोन्नत किया गया।
46095842,ᱨᱮᱞᱳᱣᱮ ᱵᱩᱠᱤᱝ ᱠᱞᱟᱨᱠ ᱡᱚᱠᱷᱚᱱ ᱩᱱᱤ ᱫᱤᱞᱞᱤ ᱴᱨᱮᱱ ᱨᱮᱭᱟᱜ ᱴᱤᱠᱤᱴ ᱵᱩᱠ ᱵᱚᱫᱚᱞᱛᱮ ᱮᱴᱟᱜᱟᱜ ᱮᱢᱚᱜ ᱵᱟᱭ ᱨᱮᱵᱮᱱ ᱞᱮᱱᱟ ᱩᱱᱫᱚ ᱦᱟᱲᱟᱢ ᱦᱚᱲ ᱞᱟᱹᱜᱤᱫ ᱤᱧ ᱫᱩᱠ ᱞᱮᱱᱟ ᱾,I felt sorry for the old man when the railway booking clerk refused to give him alternatives for booking train tickets to Delhi.,मुझे उस बूढ़े व्यक्ति पर तरस आया जब रेलवे बुकिंग क्लर्क ने उसे दिल्ली के लिए ट्रेन टिकट बुक करने के विकल्प देने से इनकार कर दिया।
46105842,ᱤᱧ ᱧᱮᱞ ᱠᱮᱫᱮᱭᱟᱹᱧ ᱡᱮ ᱠᱷᱚᱵᱚᱨ ᱠᱟᱜᱚᱡᱽ ᱵᱤᱞᱟᱹᱣᱤᱡ ᱜᱤᱫᱽᱨᱟᱹ ᱫᱚ ᱫᱤᱱᱟᱹᱢ ᱥᱮᱛᱟᱜ ᱨᱮ ᱥᱮᱛᱟᱣᱟᱜ ᱫᱚᱞ ᱞᱟᱜᱟ ᱫᱚᱭ ᱵᱚᱛᱚᱨᱚᱜᱼᱟ ᱾ ᱚᱱᱟᱛᱮ ᱯᱟᱹᱣᱲᱤ ᱦᱟᱛᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱠᱚᱨᱯᱳᱨᱮᱥᱚᱱ ᱥᱟᱶᱤᱧ ᱨᱚᱯᱚᱲ ᱟᱠᱟᱱᱟ ᱾,"I saw that the newspaper boy was deathly scared of the pack of dogs that chased him every morning. So, I spoke to the Corporation to take steps.","मैंने देखा कि अखबार बांटने वाला लड़का कुत्तों के उस झुंड से बहुत डरता था जो हर सुबह उसका पीछा करता था। इसलिए, मैंने निगम से कदम उठाने के लिए बात की।"
46115842,"ᱤᱧ ᱱᱤᱥᱲᱟᱹᱣᱤᱱᱟᱹᱧ ᱟᱨ ᱨᱟᱹᱜᱤᱧ ᱟᱹᱭᱠᱟᱹᱣ ᱠᱮᱫᱟ, ᱤᱧᱟᱹᱜ ᱢᱮᱫᱦᱟ ᱟᱨᱟᱜ ᱞᱮᱱᱟ ᱡᱚᱠᱷᱮᱡ ᱤᱧ ᱩᱱᱤᱭᱟᱜ ᱫᱩᱣᱟᱹᱨ ᱨᱮ ᱛᱤᱸᱜᱩ ᱠᱟᱛᱮ ᱮᱴᱟᱜ ᱠᱤᱨᱤᱧᱤᱭᱟᱹ ᱠᱚᱴᱷᱮᱱ ᱵᱮᱝᱠ ᱚᱯᱷᱤᱥᱟᱨ ᱤᱧᱮ ᱮᱸᱰᱟᱜ ᱞᱤᱫᱤᱧᱟ ᱾","I felt insulted and furious, my face went red when the bank officer ignored me in favour of other customers while I stood at his door.","मुझे अपमानित और बहुत गुस्सा महसूस हुआ, मेरा चेहरा लाल हो गया जब बैंक अधिकारी ने मेरे दरवाजे पर खड़े होने के बावजूद मुझे नजरअंदाज कर दूसरे ग्राहकों को प्राथमिकता दी।"
