Unnamed: 0,Santali,English,Hindi
9525842,ᱢᱤᱫᱴᱟᱝ ᱰᱟᱭᱟᱞᱚᱜ ᱥᱤᱥᱴᱮᱢ ᱪᱮᱫ ᱮ ᱵᱮᱱᱟᱣᱟ ᱟᱨ ᱪᱮᱫ ᱵᱟᱭ ᱵᱮᱱᱟᱣᱟ ᱚᱱᱟᱫᱚ ᱨᱟᱯᱟᱪᱟᱜ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾,What does and does not constitute a dialog system may be debatable.,"क्या संवाद प्रणाली (dialog system) बनती है और क्या नहीं, यह बहस का विषय हो सकता है।"
9535842,ᱢᱤᱫᱴᱟᱝ ᱟᱞᱜᱚᱨᱤᱫᱟᱢ ᱟᱡᱟᱜ ᱟᱣᱩᱴᱯᱩᱴ ᱞᱮᱠᱷᱟᱭ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫᱴᱟᱝ ᱰᱮᱴᱟᱥᱮᱴ ᱮ ᱵᱮᱣᱦᱟᱨᱟ ᱾,An algorithm uses a dataset to calculate its output.,एक एल्गोरिदम अपने आउटपुट की गणना करने के लिए डेटासेट का उपयोग करता है।
9545842,᱑᱘᱘᱕ ᱥᱟᱞ ᱨᱮ ᱟᱥᱞᱮᱱᱰ ᱨᱮ ᱯᱩᱭᱞᱩ ᱯᱳᱥᱴ ᱩᱯᱤᱥ ᱥᱤᱨᱡᱟᱹᱣ ᱞᱮᱱᱟ ᱾,The first post office in Ashland was created in 1885.,एशलैंड में पहला डाकघर 1885 में बनाया गया था।
9555842,ᱱᱚᱣᱟ ᱛᱟᱭᱚᱢ ᱫᱚ ᱡᱮᱨᱥᱤ ᱥᱟᱹᱢᱩᱫ ᱟᱲᱮ ᱨᱮᱱᱟᱜ ᱟᱴᱞᱟᱱᱴᱤᱠ ᱢᱟᱦᱟ ᱥᱟᱹᱢᱩᱫ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱾,It is next to the Atlantic Ocean on the Jersey Shore.,यह जर्सी तट पर अटलांटिक महासागर के बगल में है।
9565842,ᱯᱚᱨᱤᱥᱚᱫ ᱨᱮᱱ ᱦᱩᱫᱟᱹᱟᱱ ᱠᱚ ᱟᱨ ᱨᱟᱹᱥᱤᱭᱟᱹ ᱠᱚᱫᱚ ᱢᱟᱹᱱ ᱥᱟᱞᱟᱜ ᱠᱚ ᱠᱟᱹᱢᱤᱭᱟ ᱾,The office bearers and members of the Council work on honourary basis.,परिषद के पदाधिकारी और सदस्य मानद आधार पर कार्य करते हैं।
9575842,ᱱᱤᱭᱟᱹ ᱛᱟᱭᱚᱢ ᱩᱱᱤᱭ ᱵᱟᱲᱟᱭ ᱦᱚᱪᱚ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱡᱮ ᱵᱟᱨ ᱴᱟᱲᱟᱝ ᱢᱩᱫᱨᱮ ᱡᱟᱷᱟᱡ ᱫᱚ ᱰᱩᱵᱩᱡᱚᱼᱟ ᱾,He then learns the ship will sink within two hours.,फिर उसे पता चलता है कि जहाज दो घंटे के भीतर डूब जाएगा।
9585842,ᱯᱳᱭᱞᱳ ᱨᱮᱭᱟᱜ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱵᱩᱜᱤ ᱫᱚ ᱫᱟᱜ ᱞᱟᱛᱟᱨ ᱨᱮ ᱛᱚᱯᱟᱜ ᱧᱩᱨ ᱟᱠᱟᱱᱟ ᱾,"The first five compartments, below the waterline, are ripped open.",जलरेखा के नीचे के पहले पांच डिब्बे फट गए हैं।
9595842,"ᱫᱤᱱᱟᱹᱢ ᱦᱤᱞᱳᱜ ᱑᱘᱐,᱐᱐᱐ ᱜᱚᱴᱟᱝ ᱠᱷᱚᱱ ᱦᱚᱸ ᱡᱟᱹᱥᱛᱤ ᱥᱟᱜᱟᱲᱚᱢ ᱱᱚᱶᱟ ᱫᱚᱭ ᱵᱮᱣᱦᱟᱨᱟ, ᱡᱟᱸᱦᱟ ᱢᱩᱫᱨᱮ ᱖᱓,᱐᱐᱐ ᱜᱚᱴᱟᱝ ᱠᱷᱚᱱ ᱦᱚᱸ ᱡᱟᱹᱥᱛᱤ ᱞᱚᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾","Over 180,000 vehicles use it every day, including over 63,000 lorries.","180,000 से अधिक वाहन हर दिन इसका उपयोग करते हैं, जिनमें 63,000 से अधिक लॉरी शामिल हैं।"
9605842,ᱱᱚᱶᱟ ᱫᱚ ᱟᱡᱟᱜ ᱡᱟᱹᱥᱛᱤ ᱨᱩᱴ ᱞᱟᱹᱜᱤᱫᱜᱮ ᱳᱭᱮᱞᱥ ᱨᱮᱭᱟᱜ ᱩᱛᱛᱚᱨ ᱩᱯᱚᱠᱩᱞ ᱫᱷᱩᱨᱭᱟᱹ ᱛᱮ ᱪᱟᱞᱟᱜᱼᱟ ᱾,It goes along the north coast of Wales for most of its route.,यह अपने अधिकांश मार्ग के लिए वेल्स के उत्तरी तट के साथ जाता है।
9615842,"᱒᱐ ᱥᱮᱯᱴᱮᱢᱵᱚᱨ ᱒᱐᱐᱒ ᱢᱟᱹᱦᱤᱛᱨᱮ, ᱛᱟᱡᱟᱠᱤᱥᱛᱟᱱ ᱟᱨ ᱠᱤᱨᱜᱤᱡᱥᱛᱟᱱ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱱᱤᱨᱟᱹᱭ ᱪᱩᱠᱛᱤ ᱠᱤᱱ ᱠᱚᱨᱟᱣ ᱞᱮᱫᱟ ᱾","On 20 September 2022, Tajikistan and Kyrgyzstan signed a peace deal.",20 सितंबर 2022 को ताजिकिस्तान और किर्गिस्तान ने शांति समझौते पर हस्ताक्षर किए।
