Unnamed: 0,Santali,English,Hindi
51025842,ᱡᱮᱜᱮᱫ ᱠᱟᱯ ᱨᱮ ᱟᱠᱚᱣᱟᱜ ᱯᱳᱭᱞᱳ ᱢᱮᱹᱪ ᱨᱮ ᱠᱮᱹᱢᱮᱨᱩᱱ ᱴᱷᱮᱱ ᱦᱟᱨᱟᱣ ᱦᱚᱪᱚᱭᱮᱱᱛᱮ ᱛᱷᱤᱨᱛᱷᱟᱨ ᱞᱮᱱᱟ ᱠᱚ ᱟᱨᱡᱮᱱᱴᱤᱱᱟ ᱾,Argentina was stunned when they lost their first world cup match to Cameroon.,अर्जेंटीना तब स्तब्ध रह गया जब वे कैमरून से अपना पहला विश्व कप मैच हार गए।
51035842,ᱡᱟᱦᱟᱸ ᱞᱮᱠᱟ ᱠᱤᱪᱷᱩ ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱠᱞᱟᱥ ᱨᱮ ᱪᱩᱭᱤᱝ ᱜᱟᱢ ᱠᱚ ᱛᱚᱜᱚᱡᱟ ᱚᱱᱟ ᱫᱚ ᱥᱟᱹᱨᱤᱜᱮ ᱟᱹᱰᱤ ᱜᱷᱤᱱᱟᱱ ᱜᱮᱭᱟ ᱾,The way some students chew gum in class is really gross.,कक्षा में कुछ छात्रों द्वारा च्युइंग गम चबाने का तरीका सचमुच बहुत घिनौना है।
51045842,ᱢᱟᱨᱠᱮᱴ ᱯᱞᱮᱥ ᱨᱮ ᱵᱟᱭᱡᱩᱣᱟᱜ ᱦᱟᱹᱱ ᱠᱷᱟᱹᱛᱤᱨᱛᱮ ᱵᱮᱱᱟᱣᱤᱡ ᱫᱚ ᱴᱟᱣᱩᱱᱦᱚᱞᱨᱮ ᱢᱤᱴᱤᱝ ᱪᱟᱞᱟᱜ ᱚᱠᱛᱚ ᱥᱴᱮᱡᱽ ᱨᱮ ᱥᱚᱫᱚᱨ ᱨᱮᱭ ᱨᱟᱜ ᱮᱫ ᱛᱟᱦᱮᱸ ᱾,Byju's losses in the marketplace led to the founder openly crying on the stage during a townhall meeting.,बाजार में बायजू के घाटे के कारण टाउनहॉल बैठक के दौरान संस्थापक मंच पर खुलेआम रो पड़े।
51055842,ᱡᱚᱠᱷᱚᱱ ᱟᱭᱴᱤ ᱠᱳᱢᱯᱟᱱᱤ ᱟᱡᱨᱮᱱ ᱠᱟᱹᱢᱤᱭᱟᱹ ᱠᱚᱭ ᱵᱮᱣᱦᱟᱨ ᱠᱚᱣᱟ ᱟᱨ ᱚᱱᱟᱛᱟᱭᱚᱢ ᱟᱹᱰᱤ ᱵᱟᱹᱲᱤᱡ ᱥᱟᱹᱦᱤᱡ ᱪᱟᱹᱠᱨᱤ ᱠᱷᱚᱱᱮ ᱩᱰᱩᱠ ᱠᱮᱫ ᱠᱚᱣᱟ ᱩᱱᱫᱚ ᱤᱧᱤᱧ ᱨᱟᱹᱜᱤ ᱞᱮᱱᱟ ᱾,I felt enraged when the IT Company used its employees and then fired them heartlessly.,मुझे बहुत गुस्सा आया जब आईटी कंपनी ने अपने कर्मचारियों का इस्तेमाल किया और फिर उन्हें बेरहमी से नौकरी से निकाल दिया।
51065842,ᱤᱧ ᱥᱳᱥᱟᱞ ᱢᱮᱰᱤᱭᱟ ᱨᱮᱭᱟᱜ ᱵᱷᱩᱣᱟᱹ ᱠᱷᱚᱵᱚᱨ ᱤᱫᱤ ᱠᱟᱛᱮ ᱱᱩᱱᱟᱹᱜ ᱜᱤᱧ ᱟᱹᱲᱤᱥ ᱟᱠᱟᱱᱟ ᱡᱮ ᱤᱧᱫᱚ ᱟᱨ ᱪᱮᱫ ᱠᱷᱚᱵᱚᱨᱦᱚᱸ ᱵᱟᱹᱧ ᱯᱟᱲᱦᱟᱣᱟ ᱾,I am so annoyed with fake news on social media that I do not read news items any more.,मैं सोशल मीडिया पर फर्जी खबरों से इतना परेशान हूँ कि अब मैं समाचार बिल्कुल नहीं पढ़ता।
51075842,ᱱᱚᱶᱟ ᱯᱮᱱᱠᱮᱠ ᱨᱮᱭᱟᱜ ᱛᱷᱩᱞᱛᱷᱩᱞᱤᱭᱟᱹ ᱥᱮᱛᱟᱜ ᱨᱮᱭᱟᱜ ᱱᱟᱥᱛᱟ ᱚᱠᱛᱚᱭ ᱨᱟᱹᱥᱠᱟᱹᱭ ᱮᱢᱚᱜᱼᱟ ᱾,The fluffiness of these pancakes makes breakfast time delightful.,इन पैनकेक्स का स्पंजीपन नाश्ते के समय को आनंददायक बना देता है।
51085842,ᱵᱚᱫᱢᱟᱥᱤ ᱨᱮ ᱤᱛᱩᱱ ᱟᱥᱲᱟ ᱨᱮᱭᱟᱜ ᱛᱟᱹᱨᱤ ᱫᱚ ᱮᱠᱟᱞ ᱵᱚᱛᱚᱨᱟᱱ ᱜᱮᱭᱟ ᱠᱷᱟᱥ ᱠᱟᱛᱮᱜ ᱱᱚᱣᱟ ᱞᱟᱹᱜᱤᱫ ᱪᱮᱫᱟᱜ ᱥᱮ ᱱᱚᱣᱟ ᱴᱮᱠᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱪᱮᱫᱦᱚᱸ ᱪᱮᱠᱟ ᱵᱟᱝ ᱦᱩᱭ ᱟᱠᱟᱱᱟ ᱾,The school's policy on bullying is absolutely appalling especially because nothing is done to prevent it.,"बुलिंग (धमकाने) पर स्कूल की नीति बिल्कुल भयावह है, खासकर इसलिए क्योंकि इसे रोकने के लिए कुछ भी नहीं किया जाता है।"
51095842,ᱱᱚᱶᱟ ᱶᱟᱹᱴᱱᱤ ᱦᱮᱲᱮᱢ ᱟᱨ ᱡᱚᱡᱚ ᱨᱮᱭᱟᱜ ᱱᱤᱠᱷᱩᱴ ᱢᱮᱥᱟᱞ ᱫᱚ ᱦᱟᱦᱟᱲᱟᱜ ᱟᱱᱟᱜ ᱠᱟᱱᱟ ᱾,The perfect balance of sweet and sour in this sauce is amazing.,इस सॉस में मीठे और खट्टे का सही संतुलन अद्भुत है।
51105842,ᱯᱷᱟᱝᱥᱚᱱ ᱪᱟᱞᱟᱣ ᱚᱠᱛᱚ ᱟᱢ ᱡᱟᱦᱟᱸ ᱞᱮᱠᱟᱛᱮ ᱟᱞᱮᱢ ᱜᱚᱲᱚ ᱟᱠᱟᱫ ᱞᱮᱭᱟ ᱚᱱᱟᱛᱮ ᱟᱢ ᱥᱟᱹᱨᱤᱜᱮ ᱤᱧᱮᱢ ᱚᱵᱟᱠ ᱦᱚᱪᱚ ᱟᱠᱟᱫᱤᱧᱟᱹ ᱾,You've genuinely astonished me with the way you helped us during the function!,"समारोह के दौरान आपने जिस तरह से हमारी मदद की, उसने मुझे वास्तव में चकित कर दिया!"
51115842,ᱴᱟᱴᱠᱟ ᱵᱮᱱᱟᱣ ᱟᱸᱠᱷ ᱨᱚᱥ ᱜᱚᱨᱚᱢ ᱫᱤᱱ ᱨᱮ ᱫᱚ ᱨᱮᱭᱟᱲ ᱟᱨ ᱦᱮᱲᱮᱢ ᱵᱩᱡᱷᱟᱹᱜᱼᱟ ᱾,Freshly prepared sugarcane juice is cold and delicious on a summer day.,गर्मी के दिन ताज़ा तैयार गन्ने का रस ठंडा और स्वादिष्ट लगता है।
