ᱤᱧ ᱠᱷᱟᱥ ᱞᱮᱠᱟᱛᱮ ᱱᱚᱶᱟ ᱥᱟᱶᱟᱨ ᱛᱟᱞᱢᱟ ᱫᱩᱧ ᱵᱟᱪᱷᱟᱣ ᱟᱠᱟᱫᱟ ᱚᱡᱮᱫᱚ ᱱᱚᱶᱟ ᱤᱧᱟᱹᱜ ᱢᱮᱰᱤᱣᱳᱭᱮᱞ ᱵᱤᱢᱟ ᱦᱚᱛᱮᱛᱮ ᱫᱟᱯᱟᱞᱚᱜ ᱨᱮᱭᱟᱜ ᱠᱟᱛᱷᱟ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾ ᱱᱤᱛ ᱟᱢ ᱤᱧᱮᱢ ᱢᱤᱛᱟᱹᱧ ᱠᱟᱱᱟ ᱡᱮ ᱤᱧᱟᱹᱜ ᱱᱟᱦᱟᱜ ᱵᱷᱤᱡᱤᱴ ᱠᱚ ᱨᱮᱭᱟᱜ ᱚᱠᱟᱴᱟᱜ ᱦᱚᱸ ᱵᱟᱝ ᱠᱚᱵᱷᱟᱨ ᱟᱠᱟᱱᱟ ? ᱱᱚᱶᱟ ᱫᱚ ᱵᱟᱝ ᱯᱟᱹᱛᱭᱟᱹᱣ ᱞᱮᱠᱟᱱᱟᱜ !	मैंने विशेष रूप से इस स्वास्थ्य केंद्र को इसलिए चुना क्योंकि यह मेरे मेडिवेल बीमा द्वारा कवर किया जाना था। अब आप मुझे बता रहे हैं कि मेरी हालिया यात्राओं में से कोई भी कवर नहीं है? यह अविश्वसनीय है!
ᱦᱚᱲ ᱠᱚ ᱫᱷᱚᱨᱢᱚ ᱞᱟᱹᱜᱤᱫ ᱠᱚ ᱫᱟᱱ ᱮᱫ ᱛᱟᱦᱮᱱᱟ ᱟᱨ ᱯᱩᱡᱟᱨᱤ ᱠᱚ ᱟᱨ ᱯᱚᱨᱚᱵ ᱠᱚ ᱦᱚᱛᱮᱛᱮ ᱫᱷᱚᱨᱢᱚ ᱠᱚᱣᱟᱜ ᱞᱟᱹᱠᱤᱭᱟᱱ ᱠᱚ ᱯᱩᱨᱟᱹᱣ ᱨᱮᱱᱟᱜ ᱠᱚ ᱨᱤᱠᱟᱹ ᱮᱫ ᱛᱟᱦᱮᱱᱟ᱾	लोग देवताओं और याजकों को बलि चढ़ाने के लिए रस्मों - रिवाज़ और त्योहारों के ज़रिए परमेश्‍वर की ज़रूरतों को पूरा करने की कोशिश करते ।
कुछ छात्र अपने शिक्षकों का मज़ाक उड़ाकर जिस तरह से उनका अनादर करते हैं वह बिल्कुल घिनौना है।	ᱠᱤᱪᱷᱩ ᱯᱟᱹᱴᱷᱩᱣᱟᱹᱠᱚ ᱡᱟᱦᱟᱸ ᱞᱮᱠᱟ ᱟᱠᱚᱨᱮᱱ ᱢᱟᱪᱮᱫᱽ ᱠᱚ ᱱᱤᱥᱲᱟᱹᱣ ᱠᱟᱛᱮ ᱩᱱᱠᱩ ᱵᱟᱠᱚ ᱢᱟᱱᱚᱛ ᱟᱠᱚᱣᱟ ᱚᱱᱟᱫᱚ ᱮᱠᱷᱮᱱ ᱜᱮ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱞᱟᱹᱲᱦᱟᱹᱭ ᱾
मुझे आश्चर्य है कि आप मेरे अपने व्यवसाय की कीमत पर यहाँ एक स्टॉल लगाने की अनुमति मुझसे लेने के बारे में सोचेंगे। (दुकानदार)	ᱤᱧᱤᱧ ᱦᱟᱭᱨᱟᱱ ᱮᱱᱟ ᱡᱮ ᱟᱢ ᱫᱚ ᱤᱧᱟᱜ ᱱᱤᱡᱟᱹ ᱵᱮᱯᱟᱨ ᱠᱷᱚᱨᱪᱟ ᱛᱮᱜᱮ ᱱᱚᱰᱮ ᱢᱤᱫᱴᱟᱝ ᱥᱴᱚᱞ ᱛᱷᱟᱯᱚᱱ ᱞᱟᱹᱜᱤᱫ ᱤᱧ ᱴᱷᱮᱱ ᱠᱷᱚᱱ ᱚᱱᱩᱢᱚᱛᱤ ᱦᱟᱛᱟᱣ ᱨᱮᱭᱟᱜ ᱠᱟᱛᱷᱟᱢ ᱩᱭᱦᱟᱹᱨᱮᱫᱼᱟ ᱾ (ᱫᱚᱠᱟᱱᱫᱟᱨ)
ᱱᱚᱶᱟ ᱥᱠᱨᱮᱯ ᱫᱚ ᱱᱤᱯᱷᱩᱴ ᱥᱟᱹᱦᱤᱡ ᱥᱩᱫᱷᱨᱟᱹᱣ ᱜᱮ ᱱᱟᱯᱟᱭᱟ, ᱵᱟᱝ ᱠᱷᱟᱱ ᱵᱟᱹᱲᱤᱡ ᱦᱳᱭᱳᱜᱼᱟ !	बेहतर होगा कि यह खरोंच पूरी तरह से ठीक हो जाए, वरना इसके परिणाम भुगतने होंगे!
ᱯᱟᱹᱵᱞᱤᱠ ᱯᱨᱚᱡᱮᱠᱭᱩᱥᱚᱱ ᱨᱤᱱᱤᱡ ᱰᱟᱭᱨᱮᱠᱴᱚᱨ‌, ᱠᱤᱭᱮᱨ ᱥᱴᱟᱨᱢᱟᱹᱨ ᱠᱤᱭᱩᱥᱤᱹᱥᱤᱹ ᱫᱚ ᱛᱮᱦᱮᱧ ᱥᱮᱛᱟᱜ ᱢᱤᱫ ᱠᱟᱛᱷᱟ ᱢᱮᱱ ᱠᱮᱜᱼᱟᱭ ᱡᱟᱦᱟᱸᱭ ᱨᱮ ᱦᱭᱩᱱ ᱟᱨ ᱯᱨᱟᱭᱤᱥ ᱵᱟᱨᱭᱟ ᱵᱤᱨᱩᱫ ᱨᱮ ᱢᱩᱠᱚᱫᱢᱟ ᱪᱟᱹᱞᱩ ᱨᱮᱭᱟᱜ ᱜᱷᱚᱥᱬᱟ ᱠᱮᱜᱼᱟ ᱠᱚ᱾	जनता की जाँच करनेवाले, किर स्टार क्यूसी ने इस सुबह नान और पाइस के सरकारी वकील की घोषणा की ।
मैं बिना थके खुशी-खुशी विज्ञान, दर्शन और ब्रह्मांड पर चर्चा करने में घंटों बिता सकता हूँ।	ᱤᱧ ᱞᱟᱸᱜᱟ ᱵᱮᱜᱚᱨ ᱨᱟᱹᱥᱠᱟᱹ ᱥᱟᱹᱦᱤᱡ ᱥᱟᱸᱲᱮᱥ, ᱥᱟᱹᱨᱭᱟᱹᱲ ᱟᱨ ᱳᱣᱟᱝ ᱤᱫᱤ ᱠᱟᱛᱮᱜ ᱪᱟᱨᱪᱟᱭ ᱛᱩᱞᱩᱡ ᱴᱟᱲᱟᱝ ᱦᱟᱹᱵᱤᱡ ᱤᱧ ᱠᱟᱴᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾
ᱤᱧ ᱦᱟᱭᱫᱨᱟᱵᱟᱫ ᱨᱮ ᱢᱤᱫ ᱠᱩᱠᱞᱤᱼᱛᱮᱞᱟ ᱦᱮᱯᱨᱟᱣ ᱨᱮ ᱡᱤᱛᱠᱟᱹᱨ ᱛᱟᱭᱚᱢ ᱟᱹᱰᱤᱧ ᱠᱩᱥᱤᱜ ᱠᱟᱱ ᱛᱟᱦᱮᱸᱜ ᱟᱨ ᱠᱷᱚᱵᱚᱨ ᱠᱟᱜᱯᱡ ᱨᱮ ᱤᱧ ᱤᱧᱟᱹᱜ ᱪᱤᱛᱟᱹᱨᱤᱧ ᱧᱮᱞ ᱠᱮᱫᱟ ᱾	हैदराबाद में एक क्विज प्रतियोगिता जीतने और अखबार में अपनी तस्वीर देखने के बाद मैं सातवें आसमान पर था।
ᱡᱮᱞᱮᱠᱟᱢ ᱵᱟᱰᱟᱭᱜᱮᱭᱟ ᱟᱞᱮᱨᱮᱱ ᱯᱟᱹᱴᱷᱣᱟᱹ ᱠᱩᱫᱚ ᱠᱟᱹᱢᱤᱡᱚᱝ ᱜᱷᱟᱨᱚᱸᱡᱽ ᱠᱷᱚᱱ ᱠᱟᱱᱟᱠᱩ ᱾	जैसा कि आप जानते हैं हमारे विद्यार्थियों के परिवार के परिश्रम से हैं.
ᱤᱧ ᱠᱩᱨᱩᱢᱩᱴᱩ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾	मैं कोशिश कर सकते हैं.
ᱱᱚᱶᱟ ᱫᱚ ᱨᱩᱯᱷᱩᱥ ᱟᱨ ᱠᱷᱟᱱ ᱵᱟᱱᱟᱨ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫ ᱥᱤᱱᱮᱢᱟ ᱥᱮᱨᱮᱧ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾	यह रूफस और खान दोनों के लिए एक सिग्नेचर गीत बन गया।
